key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
space,1.940575,space,3.71344,space,5.71211,space,11.704245,space,2.15702,space,3.50903,space,10.648175,space,3.238645,p,0,0.75258,space,2.1262,0,0,0,7,1,0_targ_4_dist_green/trial2.png,,0,4,greenverival,a,easy,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.69896,space,1.706055,0,1,1,4,1,15_dist_green/trial1.png,,1,15,greenverival,p,hard,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.836795,space,1.36625,0,2,2,3,1,9_dist_green/trial2.png,,1,9,greenverival,p,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,0.759335,space,1.670055,0,3,3,8,1,0_targ_10_dist_green/trial1.png,,0,10,greenverival,a,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,0.91039,space,81.87586,0,4,4,9,1,0_targ_10_dist_green/trial2.png,,0,10,greenverival,a,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.105265,space,1.54906,0,5,5,11,1,0_targ_16_dist_green/trial2.png,,0,16,greenverival,a,hard,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.649895,space,0.791695,0,6,6,5,1,15_dist_green/trial2.png,,1,15,greenverival,p,hard,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.157115,space,0.77264,0,7,7,1,1,3_dist_green/trial2.png,,1,3,greenverival,p,easy,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.73329,space,0.693765,0,8,8,2,1,9_dist_green/trial1.png,,1,9,greenverival,p,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.01251,space,0.56397,0,9,9,10,1,0_targ_16_dist_green/trial1.png,,0,16,greenverival,a,hard,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.988795,space,0.353025,0,10,10,6,1,0_targ_4_dist_green/trial1.png,,0,4,greenverival,a,easy,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.689315,space,0.412455,0,11,11,0,1,3_dist_green/trial1.png,,1,3,greenverival,p,easy,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.68131,,,,,,,,3_dist_green/trial9.png,,1,3,greenverival,p,easy,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,space,11.06569,space,0.54767,0,0,0,18,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.67717,,,,,,,,0_targ_10_dist_green/trial16.png,,0,10,greenverival,a,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,space,0.41393,0,1,1,117,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.30789,,,,,,,,0_targ_16_dist_green/trial12.png,,0,16,greenverival,a,hard,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,space,0.444315,0,2,2,136,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.789865,,,,,,,,0_targ_10_dist_green/trial18.png,,0,10,greenverival,a,mid,5d68c8aa40524c00189e8ac2,29,Male,2021-05-03_11h11.18.916,search_v5,2021.1.2,Win32,60.77180188,,,space,0.30972,0,3,3,119,1,,,,,,,,,,,,,,,
