"rt","accuracy","targetType","difficulty","n","observer","targPresent"
0.83,1,"tex","easy",0,"5",1
1.007,1,"tex","mid",1,"5",1
2.185,1,"tex","hard",2,"5",0
0.77,1,"tex","mid",3,"5",0
0.664,1,"tex","easy",4,"5",1
1.388,1,"tex","easy",5,"5",0
4.43,0,"tex","hard",6,"5",1
1.388,1,"tex","mid",7,"5",0
0.962,1,"tex","mid",8,"5",1
0.859,1,"tex","easy",9,"5",0
0.76,1,"tex","easy",10,"5",1
2.974,1,"tex","hard",11,"5",0
0.773,1,"tex","mid",12,"5",0
1.189,1,"tex","mid",13,"5",1
2.076,1,"tex","hard",14,"5",0
1.122,1,"tex","mid",15,"5",1
0.681,1,"tex","easy",16,"5",1
1.12,1,"tex","easy",17,"5",0
1.117,1,"tex","easy",18,"5",0
1.266,1,"tex","mid",19,"5",1
2.791,1,"tex","hard",20,"5",0
1.131,1,"tex","easy",21,"5",1
1.019,1,"tex","easy",22,"5",0
0.909,1,"tex","easy",23,"5",1
0.951,1,"tex","mid",24,"5",1
0.742,1,"tex","mid",25,"5",1
0.693,1,"tex","mid",26,"5",1
0.575,1,"tex","mid",27,"5",1
1.155,1,"tex","easy",28,"5",0
6.174,1,"tex","hard",29,"5",0
2.842,1,"tex","hard",30,"5",0
0.7,1,"tex","easy",31,"5",1
0.622,1,"tex","easy",32,"5",1
1.672,1,"tex","easy",33,"5",0
1.9,0,"tex","hard",34,"5",1
1.062,1,"tex","mid",35,"5",1
0.708,1,"tex","hard",36,"5",1
0.904,1,"tex","easy",37,"5",0
0.663,1,"tex","easy",38,"5",1
0.569,0,"tex","mid",39,"5",0
3.602,0,"tex","hard",40,"5",1
0.993,1,"tex","hard",41,"5",1
3.275,1,"tex","hard",42,"5",0
1.72,1,"tex","hard",43,"5",0
1.802,1,"tex","hard",44,"5",0
0.944,1,"tex","easy",45,"5",1
2.293,0,"tex","hard",46,"5",1
1.126,1,"tex","mid",47,"5",0
0.892,1,"tex","easy",48,"5",0
0.932,1,"tex","mid",49,"5",0
0.918,1,"tex","hard",50,"5",1
0.709,1,"tex","mid",51,"5",1
1.048,1,"tex","mid",52,"5",0
0.877,1,"tex","easy",53,"5",0
2.26,0,"tex","hard",54,"5",1
2.044,1,"tex","hard",55,"5",0
1.013,1,"tex","mid",56,"5",0
2.371,1,"tex","hard",57,"5",0
2.436,0,"tex","hard",58,"5",1
1.854,0,"tex","hard",59,"5",1
1.626,1,"tex","mid",60,"5",0
1.19,1,"tex","easy",61,"5",0
1.289,1,"tex","easy",62,"5",0
2.089,1,"tex","mid",63,"5",0
1.166,1,"tex","mid",64,"5",0
1.153,1,"tex","easy",65,"5",1
1.101,1,"tex","hard",66,"5",1
1.997,1,"tex","mid",67,"5",1
1.081,1,"tex","mid",68,"5",1
1.001,1,"tex","easy",69,"5",0
2.076,1,"tex","mid",70,"5",0
0.907,1,"tex","mid",71,"5",1
0.956,1,"tex","easy",72,"5",1
0.839,1,"tex","hard",73,"5",1
1.6,1,"tex","hard",74,"5",1
3.54,1,"tex","hard",75,"5",0
0.86,1,"tex","mid",76,"5",0
0.796,1,"tex","easy",77,"5",0
1.062,1,"tex","mid",78,"5",0
1.564,1,"tex","hard",79,"5",0
2.191,1,"tex","mid",80,"5",0
2.243,1,"tex","hard",81,"5",0
0.897,1,"tex","easy",82,"5",0
2.634,1,"tex","hard",83,"5",0
0.912,1,"tex","mid",84,"5",1
0.934,1,"tex","easy",85,"5",0
8.75,1,"tex","hard",86,"5",0
0.864,1,"tex","mid",87,"5",1
5.311,1,"tex","hard",88,"5",0
1.022,1,"tex","easy",89,"5",0
0.832,1,"tex","mid",90,"5",0
1.228,1,"tex","hard",91,"5",1
2.169,1,"tex","mid",92,"5",0
1.508,1,"tex","easy",93,"5",1
4.023,1,"tex","hard",94,"5",0
1.235,1,"tex","hard",95,"5",0
1.584,1,"tex","mid",96,"5",1
0.652,1,"tex","easy",97,"5",1
0.712,1,"tex","easy",98,"5",1
2.774,1,"tex","hard",99,"5",0
0.846,1,"tex","easy",100,"5",0
0.795,1,"tex","mid",101,"5",1
0.893,1,"tex","easy",102,"5",0
1.976,0,"tex","hard",103,"5",1
0.792,1,"tex","mid",104,"5",1
0.636,1,"tex","easy",105,"5",1
3.111,1,"tex","hard",106,"5",0
0.712,1,"tex","easy",107,"5",1
2.651,1,"tex","mid",108,"5",0
0.947,1,"tex","mid",109,"5",1
0.644,1,"tex","easy",110,"5",1
0.89,1,"tex","easy",111,"5",0
0.801,1,"tex","hard",112,"5",1
1.453,1,"tex","hard",113,"5",1
1.101,1,"tex","easy",114,"5",1
1.494,1,"tex","mid",115,"5",0
0.686,1,"tex","easy",116,"5",1
1.39,1,"tex","hard",117,"5",1
1.002,1,"tex","mid",118,"5",1
4.122,1,"tex","hard",119,"5",0
0.733,0,"tex","mid",120,"5",0
0.721,1,"tex","easy",121,"5",1
2.321,0,"tex","hard",122,"5",1
1.585,0,"tex","mid",123,"5",1
0.978,1,"tex","hard",124,"5",1
3.556,1,"tex","hard",125,"5",0
1.367,1,"tex","mid",126,"5",0
1.289,1,"tex","easy",127,"5",1
3.902,1,"tex","hard",128,"5",1
